symbol,rsi_oversold,rsi_overbought,bb_period,bb_std_dev,initial_capital,final_equity,net_pnl,total_return_pct,total_trades,win_rate_pct,max_drawdown_pct,sharpe_ratio
INFY,25,70,15,2.5,100000.0,102900.00000000003,2900.000000000029,2.900000000000036,2,50.0,-3.5602332019874403,1.2232040398900206
INFY,25,70,20,2.0,100000.0,98825.15999999999,-1174.840000000011,-1.1748400000000103,4,25.0,-7.567364974073911,-0.3792794245898077
INFY,25,70,20,2.5,100000.0,102900.00000000003,2900.000000000029,2.900000000000036,2,50.0,-3.5602332019874403,1.229551019718249
INFY,25,70,25,2.0,100000.0,98825.15999999999,-1174.840000000011,-1.1748400000000103,4,25.0,-7.567364974073911,-0.38126639362827625
INFY,25,70,25,2.5,100000.0,102900.00000000003,2900.000000000029,2.900000000000036,2,50.0,-3.5602332019874403,1.2359978356537678
INFY,25,75,15,2.0,100000.0,102900.00000000003,2900.000000000029,2.900000000000036,2,50.0,-3.5602332019874403,1.2232040398900206
INFY,25,75,15,2.5,100000.0,102900.00000000003,2900.000000000029,2.900000000000036,2,50.0,-3.5602332019874403,1.2232040398900206
INFY,25,75,20,2.0,100000.0,98825.15999999999,-1174.840000000011,-1.1748400000000103,4,25.0,-7.567364974073911,-0.3792794245898077
INFY,25,75,20,2.5,100000.0,102900.00000000003,2900.000000000029,2.900000000000036,2,50.0,-3.5602332019874403,1.229551019718249
INFY,25,75,25,2.0,100000.0,98825.15999999999,-1174.840000000011,-1.1748400000000103,4,25.0,-7.567364974073911,-0.38126639362827625
INFY,25,75,25,2.5,100000.0,102900.00000000003,2900.000000000029,2.900000000000036,2,50.0,-3.5602332019874403,1.2359978356537678
INFY,30,65,15,2.0,100000.0,102768.51088056678,2768.510880566784,2.768510880566777,3,33.33333333333333,-5.489028537947728,0.9717955559365654
INFY,30,65,15,2.5,100000.0,104865.82742914982,4865.827429149824,4.865827429149827,2,50.0,-3.5602332019874403,1.7964558998323468
INFY,30,65,20,2.0,100000.0,100713.14066295545,713.1406629554549,0.7131406629554471,4,25.0,-7.567364974073911,0.28651180205957444
INFY,30,65,20,2.5,100000.0,104865.82742914982,4865.827429149824,4.865827429149827,2,50.0,-3.5602332019874403,1.805787337617547
INFY,30,65,25,2.0,100000.0,100713.14066295545,713.1406629554549,0.7131406629554471,4,25.0,-7.567364974073911,0.28801272280224766
